date,state,daily
6/13/21,W.P. Kuala Lumpur,23771
6/13/21,W.P. Labuan,0
6/13/21,W.P. Putrajaya,0
6/14/21,Johor,20622
6/14/21,Kedah,9997
6/14/21,Kelantan,10169
6/14/21,Melaka,2891
6/14/21,Negeri Sembilan,5678
6/14/21,Pahang,6482
6/14/21,Perak,9853
6/14/21,Perlis,3163
6/14/21,Pulau Pinang,9698
6/14/21,Sabah,13860
6/14/21,Sarawak,44444
6/14/21,Selangor,30888
6/14/21,Terengganu,6387
6/14/21,W.P. Kuala Lumpur,25736
6/14/21,W.P. Labuan,1198
6/14/21,W.P. Putrajaya,1394
6/15/21,Johor,20610
6/15/21,Kedah,8779
6/15/21,Kelantan,12304
6/15/21,Melaka,3336
6/15/21,Negeri Sembilan,7602
6/15/21,Pahang,7799
6/15/21,Perak,10435
6/15/21,Perlis,3238
6/15/21,Pulau Pinang,10328
6/15/21,Sabah,17148
6/15/21,Sarawak,47677
6/15/21,Selangor,34955
6/15/21,Terengganu,6317
6/15/21,W.P. Kuala Lumpur,28884
6/15/21,W.P. Labuan,952
6/15/21,W.P. Putrajaya,1557
6/16/21,Johor,17338
6/16/21,Kedah,4880
6/16/21,Kelantan,12541
6/16/21,Melaka,5174
6/16/21,Negeri Sembilan,6638
6/16/21,Pahang,5627
6/16/21,Perak,2484
6/16/21,Perlis,2634
6/16/21,Pulau Pinang,10010
6/16/21,Sabah,18284
6/16/21,Sarawak,54160
6/16/21,Selangor,36718
6/16/21,Terengganu,5542
6/16/21,W.P. Kuala Lumpur,28738
6/16/21,W.P. Labuan,1179
6/16/21,W.P. Putrajaya,1206
6/17/21,Johor,20529
6/17/21,Kedah,8938
6/17/21,Kelantan,11658
6/17/21,Melaka,6146
6/17/21,Negeri Sembilan,6654
6/17/21,Pahang,3961
6/17/21,Perak,10513
6/17/21,Perlis,3002
6/17/21,Pulau Pinang,11145
6/17/21,Sabah,16798
6/17/21,Sarawak,53651
6/17/21,Selangor,36541
6/17/21,Terengganu,5376
6/17/21,W.P. Kuala Lumpur,29073
6/17/21,W.P. Labuan,2531
6/17/21,W.P. Putrajaya,1495
6/18/21,Johor,9104
6/18/21,Kedah,2787
6/18/21,Kelantan,448
6/18/21,Melaka,6563
6/18/21,Negeri Sembilan,6245
6/18/21,Pahang,3835
6/18/21,Perak,11228
6/18/21,Perlis,1996
6/18/21,Pulau Pinang,10334
6/18/21,Sabah,16153
6/18/21,Sarawak,51039
6/18/21,Selangor,33674
6/18/21,Terengganu,0
6/18/21,W.P. Kuala Lumpur,27276
6/18/21,W.P. Labuan,2355
6/18/21,W.P. Putrajaya,1633
6/19/21,Johor,18710
6/19/21,Kedah,3374
6/19/21,Kelantan,555
6/19/21,Melaka,5979
6/19/21,Negeri Sembilan,2099
6/19/21,Pahang,2132
6/19/21,Perak,9313
6/19/21,Perlis,1873
6/19/21,Pulau Pinang,7755
6/19/21,Sabah,16301
6/19/21,Sarawak,50640
6/19/21,Selangor,24353
6/19/21,Terengganu,610
6/19/21,W.P. Kuala Lumpur,24722
6/19/21,W.P. Labuan,2361
6/19/21,W.P. Putrajaya,0
6/20/21,Johor,13774
6/20/21,Kedah,2520
6/20/21,Kelantan,8463
6/20/21,Melaka,2
6/20/21,Negeri Sembilan,1003
6/20/21,Pahang,1263
6/20/21,Perak,8331
6/20/21,Perlis,2153
6/20/21,Pulau Pinang,2097
6/20/21,Sabah,7566
6/20/21,Sarawak,46814
6/20/21,Selangor,16753
