date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
6/4/21,Perlis,1228,3,1231,0,0,37523,19138,56661,0,0,61,2,1167,1,0,0,0,0
6/4/21,Pulau Pinang,5601,62,5663,0,0,109999,74173,184172,0,0,1310,37,4170,25,119,0,0,2
6/4/21,Sabah,10039,842,10881,0,0,165178,92254,257432,0,0,4894,799,5144,43,0,0,0,1
6/4/21,Sarawak,7765,2871,10636,0,0,213605,123479,337084,0,0,1904,926,5746,1944,110,0,0,6
6/4/21,Selangor,16322,236,16558,0,0,334892,143821,478713,0,0,6985,210,4474,26,4863,0,0,0
6/4/21,Terengganu,0,1,1,0,0,85339,50261,135600,0,0,0,1,0,0,0,0,0,0
6/4/21,W.P. Kuala Lumpur,16191,572,16763,3,0,393515,104612,498127,3,0,3619,564,3124,7,9447,1,0,1
6/4/21,W.P. Labuan,585,64,649,0,0,15573,12518,28091,0,0,472,26,113,38,0,0,0,0
6/4/21,W.P. Putrajaya,1379,13,1392,0,0,26844,12445,39289,0,0,388,8,991,5,0,0,0,0
6/5/21,Johor,10502,276,10778,0,0,216528,98479,315007,0,0,9359,268,1142,8,0,0,0,1
6/5/21,Kedah,3397,0,3397,0,0,157459,70699,228158,0,0,0,0,3397,0,0,0,0,0
6/5/21,Kelantan,763,5,768,0,0,116381,55561,171942,0,0,643,0,120,5,0,0,0,0
6/5/21,Melaka,2156,1,2157,0,0,62161,36495,98656,0,0,616,1,1540,0,0,0,0,0
6/5/21,Negeri Sembilan,1089,0,1089,0,0,88076,56352,144428,0,0,450,0,639,0,0,0,0,0
6/5/21,Pahang,2121,17,2138,0,0,121363,80211,201574,0,0,1,0,1885,17,234,0,0,1
6/5/21,Perak,7072,93,7165,0,0,193688,105739,299427,0,0,3483,93,2639,0,945,0,0,5
6/5/21,Perlis,783,0,783,0,0,38306,19138,57444,0,0,0,0,783,0,0,0,0,0
6/5/21,Pulau Pinang,3601,14,3615,0,0,113600,74187,187787,0,0,1160,14,2440,0,0,0,0,1
6/5/21,Sabah,8978,452,9430,0,0,174156,92706,266862,0,0,5403,447,3575,5,0,0,0,0
6/5/21,Sarawak,10614,45,10659,0,0,224219,123524,347743,0,0,8899,33,1700,11,11,0,0,5
6/5/21,Selangor,10383,100,10483,0,0,345275,143921,489196,0,0,3838,83,2359,17,4182,0,0,4
6/5/21,Terengganu,923,0,923,0,0,86262,50261,136523,0,0,0,0,432,0,491,0,0,0
6/5/21,W.P. Kuala Lumpur,9413,0,9413,0,0,402928,104612,507540,3,0,1,0,16,0,9396,0,0,0
6/5/21,W.P. Labuan,247,385,632,0,0,15820,12903,28723,0,0,247,385,0,0,0,0,0,0
6/5/21,W.P. Putrajaya,1,0,1,0,0,26845,12445,39290,0,0,1,0,0,0,0,0,0,0
6/6/21,Johor,10611,153,10764,0,0,227139,98632,325771,0,0,10508,153,16,0,86,0,0,1
6/6/21,Kedah,10317,191,10508,0,0,167776,70890,238666,0,0,6052,156,4165,35,92,0,0,8
6/6/21,Kelantan,6784,435,7219,0,0,123165,55996,179161,0,0,5951,417,833,18,0,0,0,0
6/6/21,Melaka,0,0,0,0,0,62161,36495,98656,0,0,0,0,0,0,0,0,0,0
6/6/21,Negeri Sembilan,1064,0,1064,0,0,89140,56352,145492,0,0,450,0,581,0,33,0,0,0
6/6/21,Pahang,4170,3,4173,0,0,125533,80214,205747,0,0,0,0,4169,3,0,0,0,1
6/6/21,Perak,7803,22,7825,0,0,201491,105761,307252,0,0,3612,22,3248,0,942,0,0,1
6/6/21,Perlis,0,0,0,0,0,38306,19138,57444,0,0,0,0,0,0,0,0,0,0
6/6/21,Pulau Pinang,1,2,3,0,0,113601,74189,187790,0,0,1,2,0,0,0,0,0,0
6/6/21,Sabah,7509,29,7538,1,0,181665,92735,274400,1,0,4250,24,3259,4,0,0,0,1
6/6/21,Sarawak,14590,117,14707,0,0,238809,123641,362450,0,0,4092,89,10441,28,55,0,0,2
6/6/21,Selangor,5619,2,5621,0,0,350894,143923,494817,0,0,1,0,1502,2,4116,0,0,0
6/6/21,Terengganu,3583,617,4200,0,0,89845,50878,140723,0,0,3569,617,6,0,8,0,0,0
6/6/21,W.P. Kuala Lumpur,8798,1,8799,0,0,411726,104613,516339,3,0,36,0,71,1,8691,0,0,0
6/6/21,W.P. Labuan,0,0,0,0,0,15820,12903,28723,0,0,0,0,0,0,0,0,0,0
6/6/21,W.P. Putrajaya,0,0,0,0,0,26845,12445,39290,0,0,0,0,0,0,0,0,0,0
6/7/21,Johor,2877,576,3453,0,0,230016,99208,329224,0,0,530,576,1348,0,999,0,0,0
6/7/21,Kedah,2960,5,2965,0,0,170736,70895,241631,0,0,876,4,2084,1,0,0,0,0
6/7/21,Kelantan,274,221,495,0,0,123439,56217,179656,0,0,1,219,273,2,0,0,0,0
6/7/21,Melaka,0,0,0,0,0,62161,36495,98656,0,0,0,0,0,0,0,0,0,0
6/7/21,Negeri Sembilan,630,1,631,1,0,89770,56353,146123,1,0,0,0,630,0,0,0,0,1
6/7/21,Pahang,52,0,52,0,0,125585,80214,205799,0,0,1,0,50,0,0,0,0,1
6/7/21,Perak,653,1,654,0,0,202144,105762,307906,0,0,162,1,480,0,0,0,0,11
6/7/21,Perlis,0,0,0,0,0,38306,19138,57444,0,0,0,0,0,0,0,0,0,0
6/7/21,Pulau Pinang,1531,0,1531,0,0,115132,74189,189321,0,0,0,0,492,0,1038,0,0,1
6/7/21,Sabah,6749,828,7577,3,0,188414,93563,281977,4,0,5186,446,1559,382,0,0,0,4
6/7/21,Sarawak,14926,227,15153,0,0,253735,123868,377603,0,0,2528,31,11113,195,1285,0,0,1
6/7/21,Selangor,9393,1,9394,0,0,360287,143924,504211,0,0,0,0,4899,1,4494,0,0,0
6/7/21,Terengganu,0,301,301,0,0,89845,51179,141024,0,0,0,301,0,0,0,0,0,0
6/7/21,W.P. Kuala Lumpur,19767,2931,22698,0,0,431493,107544,539037,3,0,1666,1977,7688,954,10412,0,0,1
6/7/21,W.P. Labuan,51,0,51,0,0,15871,12903,28774,0,0,51,0,0,0,0,0,0,0
6/7/21,W.P. Putrajaya,751,0,751,0,0,27596,12445,40041,0,0,228,0,523,0,0,0,0,0
6/8/21,Johor,10079,8247,18326,0,0,240095,107455,347550,0,0,7169,7753,1884,493,1026,0,0,1
6/8/21,Kedah,8633,1547,10180,0,0,179369,72442,251811,0,0,6215,906,2346,641,72,0,0,0
6/8/21,Kelantan,7242,2737,9979,0,0,130681,58954,189635,0,0,4397,2521,2845,216,0,0,0,0
6/8/21,Melaka,3555,200,3755,0,0,65716,36695,102411,0,0,2114,197,1357,3,84,0,0,0
6/8/21,Negeri Sembilan,2786,3768,6554,0,0,92556,60121,152677,1,0,965,3645,1718,123,102,0,0,1
6/8/21,Pahang,5212,1321,6533,0,0,130797,81535,212332,0,0,4907,1135,288,186,17,0,0,0
6/8/21,Perak,7086,2846,9932,0,0,209230,108608,317838,0,0,5487,2831,486,14,1113,0,0,1
6/8/21,Perlis,880,890,1770,0,0,39186,20028,59214,0,0,846,882,34,8,0,0,0,0
6/8/21,Pulau Pinang,6850,770,7620,0,0,121982,74959,196941,0,0,2413,718,3396,52,1035,0,0,6
6/8/21,Sabah,8591,3444,12035,1,0,197005,97007,294012,5,0,6666,2816,1905,628,0,0,0,20
6/8/21,Sarawak,6998,5448,12446,0,0,260733,129316,390049,0,0,2141,5128,3517,320,1340,0,0,0
6/8/21,Selangor,17155,6291,23446,1,0,377442,150215,527657,1,0,4317,5773,7936,511,4900,0,0,9
6/8/21,Terengganu,835,3055,3890,0,0,90680,54234,144914,0,0,412,3011,52,41,370,1,0,3
6/8/21,W.P. Kuala Lumpur,21499,4160,25659,0,0,452992,111704,564696,3,0,2271,2737,8705,1423,10521,0,0,2
6/8/21,W.P. Labuan,298,228,526,0,0,16169,13131,29300,0,0,298,219,0,9,0,0,0,0
6/8/21,W.P. Putrajaya,388,1154,1542,0,0,27984,13599,41583,0,0,385,835,3,319,0,0,0,0
6/9/21,Johor,12618,6005,18623,0,0,252713,113460,366173,0,0,8576,2845,2962,3159,1080,0,0,1
6/9/21,Kedah,7109,3192,10301,0,0,186478,75634,262112,0,0,4783,1864,2254,1326,72,0,0,2
6/9/21,Kelantan,8127,2891,11018,0,0,138808,61845,200653,0,0,4504,2532,3621,359,0,0,0,2
6/9/21,Melaka,3590,327,3917,0,0,69306,37022,106328,0,0,2236,323,1306,1,48,0,0,3
6/9/21,Negeri Sembilan,4393,1524,5917,0,0,96949,61645,158594,1,0,2323,1361,2003,163,67,0,0,0
6/9/21,Pahang,6018,2051,8069,0,0,136815,83586,220401,0,0,4887,1997,1121,54,0,0,0,10
6/9/21,Perak,8456,2264,10720,0,0,217686,110872,328558,0,0,7648,2221,535,40,264,0,0,12
6/9/21,Perlis,1459,762,2221,0,0,40645,20790,61435,0,0,930,747,529,15,0,0,0,0
6/9/21,Pulau Pinang,7969,496,8465,0,0,129951,75455,205406,0,0,4186,427,2565,69,1217,0,0,1
6/9/21,Sabah,9930,3547,13477,0,0,206935,100554,307489,5,0,8392,2990,1535,556,0,0,0,4
6/9/21,Sarawak,5217,3920,9137,0,0,265950,133236,399186,0,0,899,3577,2907,343,1411,0,0,0
6/9/21,Selangor,19661,5461,25122,0,0,397103,155676,552779,1,0,7592,5029,8633,432,3435,0,0,1
6/9/21,Terengganu,2446,2362,4808,0,0,93126,56596,149722,0,0,1871,2245,50,115,524,0,0,3
6/9/21,W.P. Kuala Lumpur,17861,4859,22720,0,0,470853,116563,587416,3,0,1490,2745,8590,2112,7781,0,0,2
6/9/21,W.P. Labuan,605,43,648,0,0,16774,13174,29948,0,0,359,25,246,18,0,0,0,0
6/9/21,W.P. Putrajaya,556,868,1424,0,0,28540,14467,43007,0,0,553,527,3,341,0,0,0,0
